ano_letivo,serie,letra,nome_aluno,apelido,ataque,defesa,tecnica,velocidade,fisico,goleiro
2024,3,I,Pinho,,95,78,96,99,82,9
2024,3,I,Zago,,99,85,96,86,99,11
2024,3,I,Xavier,,71,99,84,80,96,19
2024,3,I,Vitinho,,99,99,99,99,99,99
2024,3,I,Joao Victor,,88,68,85,95,69,17
2024,3,I,Caua Cerqueira,,99,69,85,76,86,16
2024,1,J,Mateus Ricardo,,92,99,90,87,97,20
2024,1,J,Leo,,95,77,95,99,74,10
2024,1,J,Jojo,,94,78,95,97,71,9
2024,1,J,Batista,,81,60,80,82,62,11
2024,1,J,João Gabriel,,75,58,73,82,47,15
2024,1,J,Miguel,,68,99,74,75,99,83
2024,1,J,Caua,,99,72,89,84,81,17
2024,1,J,André,,89,75,90,95,71,15
2024,1,J,Joao Vinicius,,85,65,81,91,68,10
2024,1,K,Kauan Eduardo,,99,80,93,87,96,9
2024,1,K,Matheus Salvego,,97,79,95,99,70,21
2024,1,K,Jhonatan,,99,70,85,81,85,20
2024,1,K,Vinicius Felix,,84,65,87,87,67,15
2024,1,K,Francisco Felix,,70,97,77,78,88,29
2024,1,K,Nicholas,,54,99,75,74,98,80
2024,1,F,Luquinhas,,96,83,97,99,80,8
2024,1,F,Moraes,,59,98,73,71,99,80
2024,1,F,Henry,,94,59,78,77,82,19
2024,1,F,Caio Dias,,85,71,87,96,66,9
2024,1,F,Carrinho,,83,67,84,88,63,10
2024,1,I,Izael,,93,59,75,72,71,18
2024,1,I,Fernando,,85,99,78,79,99,88
2024,1,I,Marcondes,,79,63,79,89,65,8
2024,1,I,Gui Barreto,,84,66,79,86,60,8
2024,1,I,Lucas Stabile,,62,95,73,71,79,27
2024,1,H,Henrique,,85,70,84,90,56,18
2024,1,H,Rodrigues,,59,94,77,73,77,31
2024,1,H,Borges,,86,69,85,91,64,9
2024,1,H,Ryan,,89,71,84,91,70,11
2024,1,H,Oliver,,68,99,75,79,99,84
2024,1,H,Joao Marcelo,,91,59,77,75,88,9
2024,1,H,Cintra,,94,64,78,72,87,17
2024,2,I,Paixão,,93,75,95,98,74,17
2024,2,I,Marquinhos,,84,99,86,88,98,25
2024,2,I,Daniel,,90,73,87,94,76,19
2024,2,I,Dudu,,97,62,81,78,77,16
2024,2,I,Fofão,,65,99,76,76,99,83
2024,2,I,Pedro,,93,65,82,72,83,12
2024,1,A,Otavio Bório,,74,99,77,78,82,31
2024,1,A,Kaue,,82,65,82,92,64,16
2024,1,A,Gabriel,,67,99,75,80,99,84
2024,1,A,Girotto,,94,65,85,79,77,11
2024,1,A,Vargas,,86,65,86,89,59,20
2024,1,A,Viniel,,83,70,85,90,67,8
2024,1,A,Caua Oliveira,,98,62,81,74,80,17
2024,3,L,Lucas Ribeiro,,91,76,95,99,69,13
2024,3,L,André,,90,73,90,98,79,13
2024,3,L,Gustavo,,85,70,86,94,60,15
2024,3,L,Lopes,,85,73,88,89,65,18
2024,3,L,Murilo,,39,92,63,66,85,69
2025,2,J,Mateus Ricardo,,91,99,89,87,99,30
2025,2,J,Leo,,92,82,97,99,75,14
2025,2,J,Jojo,,92,81,93,99,80,8
2025,2,J,Batista,,86,69,88,93,59,17
2025,2,J,Miguel,,77,99,77,78,99,86
2025,2,J,Caua,,99,81,89,82,94,19
2025,2,J,André,,87,66,86,93,63,10
2025,2,J,Joao Vinicius,,87,66,87,93,57,8
2025,2,K,Kauan Eduardo,,99,90,98,89,99,13
2025,2,K,Matheus Salvego,,93,79,94,99,75,8
2025,2,K,Jhonatan,,99,70,89,82,85,16
2025,2,K,Vinicius Felix,,88,75,89,92,66,10
2025,2,K,Francisco Felix,,71,99,85,78,87,30
2025,2,K,Lino,,67,99,79,76,99,84
2025,2,K,Fabinho,,89,73,91,98,74,9
2025,2,F,Luquinhas,,95,81,99,99,86,16
2025,2,F,Moraes,,58,99,69,75,99,80
2025,2,F,Henry,,95,64,82,77,92,9
2025,2,F,Caio Dias,,90,73,90,92,70,22
2025,2,F,Carrinho,,84,67,85,91,63,16
2025,2,I,Izael,,96,61,80,75,78,15
2025,2,I,Fernando,,77,99,82,83,99,88
2025,2,I,Marcondes,,80,66,79,90,60,10
2025,2,I,Gui Barreto,,78,65,81,86,65,18
2025,2,I,Lucas Stabile,,62,91,72,72,83,22
2025,2,H,Henrique,,89,68,88,94,61,13
2025,2,H,Rodrigues,,64,95,77,71,88,29
2025,2,H,Borges,,87,69,89,96,64,10
2025,2,H,Ryan,,89,74,89,94,69,11
2025,2,H,Oliver,,73,99,80,79,99,86
2025,2,H,Joao Marcelo,,93,63,83,76,85,8
2025,2,H,Cintra,,98,65,85,79,83,9
2025,3,I,Paixão,,97,87,98,99,89,12
2025,3,I,Marquinhos,,99,99,99,99,99,30
2025,3,I,Daniel,,96,79,96,98,66,10
2025,3,I,Dudu,,97,65,82,78,78,12
2025,3,I,Fofão,,71,99,79,77,99,85
2025,3,I,Pedro,,98,63,83,75,91,20
2025,2,A,Otavio Bório,,67,97,81,79,86,21
2025,2,A,Gabriel,,71,99,76,75,99,84
2025,2,A,Girotto,,97,67,84,77,85,8
2025,2,A,Viniel,,87,72,84,89,68,12
2025,2,A,Caua Oliveira,,84,68,85,94,69,16
2025,3,L,Lucas Ribeiro,,90,75,92,99,74,10
2025,3,L,André,,93,81,91,99,76,8
2025,3,L,Gustavo,,89,72,88,91,65,15
2025,3,L,Lopes,,90,71,92,99,68,14
2025,3,L,Nicolas,,47,98,72,71,97,77
2025,1,K,Gustavo,,77,99,86,78,90,21
2025,1,K,Natan,,91,74,90,96,59,14
2025,1,K,Frota,,92,66,79,72,86,19
2025,1,K,Cezao,,67,99,72,73,99,82
2025,1,K,Caetano,,83,72,89,92,64,16
